BMSC        ;4010542984              ;1043 ;02.03.23;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14551-790045    ;             5.85 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14549-797270    ;            27.00 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14546-807407    ;           124.00 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;6941-1540154    ;            60.00 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14551-791106    ;          2050.00 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;VALLEJOS OCHOA JUAN-DEPOSIT;Z001                       ;    ;    ;14182-42197     ;          3876.00 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906610          ;          3450.00-;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906597          ;           518.70-;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906600          ;           518.70-;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906601          ;           518.70-;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-PAGO CHEQUE PROPIO-Origina;Z002                       ;    ;    ;906612          ;         25643.00-;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1043 ;02.03.23;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;6946-970926     ;           137.00 ;     ;0;02.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
